brain_area,brain_layer,model,count,proportion,taskname,category,description
VISal,layer23,autoencoding,16,0.08163265306122448,Autoencoder,2D,Image compression and decompression
VISal,layer4,autoencoding,31,0.06540084388185655,Autoencoder,2D,Image compression and decompression
VISal,layer5,autoencoding,7,0.07446808510638298,Autoencoder,2D,Image compression and decompression
VISam,layer23,autoencoding,3,0.04477611940298507,Autoencoder,2D,Image compression and decompression
VISam,layer4,autoencoding,3,0.04477611940298507,Autoencoder,2D,Image compression and decompression
VISl,layer23,autoencoding,49,0.0890909090909091,Autoencoder,2D,Image compression and decompression
VISl,layer4,autoencoding,55,0.07275132275132275,Autoencoder,2D,Image compression and decompression
VISl,layer5,autoencoding,37,0.06390328151986183,Autoencoder,2D,Image compression and decompression
VISl,layer6,autoencoding,2,0.05714285714285714,Autoencoder,2D,Image compression and decompression
VISp,layer23,autoencoding,63,0.07342657342657342,Autoencoder,2D,Image compression and decompression
VISp,layer4,autoencoding,125,0.0713063320022818,Autoencoder,2D,Image compression and decompression
VISp,layer5,autoencoding,33,0.052547770700636945,Autoencoder,2D,Image compression and decompression
VISpm,layer23,autoencoding,20,0.08620689655172414,Autoencoder,2D,Image compression and decompression
VISpm,layer4,autoencoding,8,0.06666666666666667,Autoencoder,2D,Image compression and decompression
VISpm,layer5,autoencoding,5,0.08196721311475409,Autoencoder,2D,Image compression and decompression
VISpm,layer6,autoencoding,4,0.09523809523809523,Autoencoder,2D,Image compression and decompression
VISrl,layer23,autoencoding,4,0.0975609756097561,Autoencoder,2D,Image compression and decompression
VISrl,layer4,autoencoding,1,0.04,Autoencoder,2D,Image compression and decompression
VISal,layer23,class_object,17,0.08673469387755102,Object Classification,Semantic,1000-way object classification (via knowledge distillation from ImageNet).
VISal,layer4,class_object,36,0.0759493670886076,Object Classification,Semantic,1000-way object classification (via knowledge distillation from ImageNet).
VISal,layer5,class_object,10,0.10638297872340426,Object Classification,Semantic,1000-way object classification (via knowledge distillation from ImageNet).
VISam,layer23,class_object,5,0.07462686567164178,Object Classification,Semantic,1000-way object classification (via knowledge distillation from ImageNet).
VISam,layer4,class_object,4,0.05970149253731343,Object Classification,Semantic,1000-way object classification (via knowledge distillation from ImageNet).
VISam,layer5,class_object,2,0.13333333333333333,Object Classification,Semantic,1000-way object classification (via knowledge distillation from ImageNet).
VISl,layer23,class_object,40,0.07272727272727272,Object Classification,Semantic,1000-way object classification (via knowledge distillation from ImageNet).
VISl,layer4,class_object,46,0.06084656084656084,Object Classification,Semantic,1000-way object classification (via knowledge distillation from ImageNet).
VISl,layer5,class_object,37,0.06390328151986183,Object Classification,Semantic,1000-way object classification (via knowledge distillation from ImageNet).
VISl,layer6,class_object,5,0.14285714285714285,Object Classification,Semantic,1000-way object classification (via knowledge distillation from ImageNet).
VISp,layer23,class_object,55,0.0641025641025641,Object Classification,Semantic,1000-way object classification (via knowledge distillation from ImageNet).
VISp,layer4,class_object,91,0.05191100969766115,Object Classification,Semantic,1000-way object classification (via knowledge distillation from ImageNet).
VISp,layer5,class_object,40,0.06369426751592357,Object Classification,Semantic,1000-way object classification (via knowledge distillation from ImageNet).
VISp,layer6,class_object,1,0.06666666666666667,Object Classification,Semantic,1000-way object classification (via knowledge distillation from ImageNet).
VISpm,layer23,class_object,12,0.05172413793103448,Object Classification,Semantic,1000-way object classification (via knowledge distillation from ImageNet).
VISpm,layer4,class_object,10,0.08333333333333333,Object Classification,Semantic,1000-way object classification (via knowledge distillation from ImageNet).
VISpm,layer5,class_object,4,0.06557377049180328,Object Classification,Semantic,1000-way object classification (via knowledge distillation from ImageNet).
VISpm,layer6,class_object,5,0.11904761904761904,Object Classification,Semantic,1000-way object classification (via knowledge distillation from ImageNet).
VISrl,layer23,class_object,2,0.04878048780487805,Object Classification,Semantic,1000-way object classification (via knowledge distillation from ImageNet).
VISrl,layer4,class_object,1,0.04,Object Classification,Semantic,1000-way object classification (via knowledge distillation from ImageNet).
VISrl,layer5,class_object,1,0.3333333333333333,Object Classification,Semantic,1000-way object classification (via knowledge distillation from ImageNet).
VISal,layer23,class_scene,15,0.07653061224489796,Scene Classification,Semantic,Scene Classification (via knowledge distillation from MIT Places).
VISal,layer4,class_scene,34,0.07172995780590717,Scene Classification,Semantic,Scene Classification (via knowledge distillation from MIT Places).
VISal,layer5,class_scene,2,0.02127659574468085,Scene Classification,Semantic,Scene Classification (via knowledge distillation from MIT Places).
VISam,layer23,class_scene,5,0.07462686567164178,Scene Classification,Semantic,Scene Classification (via knowledge distillation from MIT Places).
VISam,layer4,class_scene,7,0.1044776119402985,Scene Classification,Semantic,Scene Classification (via knowledge distillation from MIT Places).
VISam,layer5,class_scene,1,0.06666666666666667,Scene Classification,Semantic,Scene Classification (via knowledge distillation from MIT Places).
VISl,layer23,class_scene,31,0.056363636363636366,Scene Classification,Semantic,Scene Classification (via knowledge distillation from MIT Places).
VISl,layer4,class_scene,47,0.062169312169312166,Scene Classification,Semantic,Scene Classification (via knowledge distillation from MIT Places).
VISl,layer5,class_scene,35,0.06044905008635579,Scene Classification,Semantic,Scene Classification (via knowledge distillation from MIT Places).
VISl,layer6,class_scene,1,0.02857142857142857,Scene Classification,Semantic,Scene Classification (via knowledge distillation from MIT Places).
VISp,layer23,class_scene,47,0.054778554778554776,Scene Classification,Semantic,Scene Classification (via knowledge distillation from MIT Places).
VISp,layer4,class_scene,87,0.04962920707358814,Scene Classification,Semantic,Scene Classification (via knowledge distillation from MIT Places).
VISp,layer5,class_scene,34,0.054140127388535034,Scene Classification,Semantic,Scene Classification (via knowledge distillation from MIT Places).
VISp,layer6,class_scene,2,0.13333333333333333,Scene Classification,Semantic,Scene Classification (via knowledge distillation from MIT Places).
VISpm,layer23,class_scene,18,0.07758620689655173,Scene Classification,Semantic,Scene Classification (via knowledge distillation from MIT Places).
VISpm,layer4,class_scene,11,0.09166666666666666,Scene Classification,Semantic,Scene Classification (via knowledge distillation from MIT Places).
VISpm,layer5,class_scene,2,0.03278688524590164,Scene Classification,Semantic,Scene Classification (via knowledge distillation from MIT Places).
VISpm,layer6,class_scene,1,0.023809523809523808,Scene Classification,Semantic,Scene Classification (via knowledge distillation from MIT Places).
VISrl,layer23,class_scene,3,0.07317073170731707,Scene Classification,Semantic,Scene Classification (via knowledge distillation from MIT Places).
VISrl,layer4,class_scene,1,0.04,Scene Classification,Semantic,Scene Classification (via knowledge distillation from MIT Places).
VISal,layer23,curvature,6,0.030612244897959183,Curvatures,3D,Magnitude of 3D principal curvatures
VISal,layer4,curvature,11,0.023206751054852322,Curvatures,3D,Magnitude of 3D principal curvatures
VISal,layer5,curvature,3,0.031914893617021274,Curvatures,3D,Magnitude of 3D principal curvatures
VISam,layer23,curvature,2,0.029850746268656716,Curvatures,3D,Magnitude of 3D principal curvatures
VISam,layer4,curvature,2,0.029850746268656716,Curvatures,3D,Magnitude of 3D principal curvatures
VISl,layer23,curvature,17,0.03090909090909091,Curvatures,3D,Magnitude of 3D principal curvatures
VISl,layer4,curvature,31,0.041005291005291,Curvatures,3D,Magnitude of 3D principal curvatures
VISl,layer5,curvature,17,0.02936096718480138,Curvatures,3D,Magnitude of 3D principal curvatures
VISp,layer23,curvature,30,0.03496503496503497,Curvatures,3D,Magnitude of 3D principal curvatures
VISp,layer4,curvature,80,0.045636052481460354,Curvatures,3D,Magnitude of 3D principal curvatures
VISp,layer5,curvature,26,0.041401273885350316,Curvatures,3D,Magnitude of 3D principal curvatures
VISpm,layer23,curvature,4,0.017241379310344827,Curvatures,3D,Magnitude of 3D principal curvatures
VISpm,layer4,curvature,1,0.008333333333333333,Curvatures,3D,Magnitude of 3D principal curvatures
VISpm,layer5,curvature,4,0.06557377049180328,Curvatures,3D,Magnitude of 3D principal curvatures
VISpm,layer6,curvature,10,0.23809523809523808,Curvatures,3D,Magnitude of 3D principal curvatures
VISrl,layer23,curvature,1,0.024390243902439025,Curvatures,3D,Magnitude of 3D principal curvatures
VISrl,layer4,curvature,1,0.04,Curvatures,3D,Magnitude of 3D principal curvatures
VISal,layer23,denoising,4,0.02040816326530612,Denoising,Other,Uncorrupted version of corrupted image.
VISal,layer4,denoising,13,0.027426160337552744,Denoising,Other,Uncorrupted version of corrupted image.
VISal,layer5,denoising,2,0.02127659574468085,Denoising,Other,Uncorrupted version of corrupted image.
VISam,layer23,denoising,1,0.014925373134328358,Denoising,Other,Uncorrupted version of corrupted image.
VISl,layer23,denoising,11,0.02,Denoising,Other,Uncorrupted version of corrupted image.
VISl,layer4,denoising,14,0.018518518518518517,Denoising,Other,Uncorrupted version of corrupted image.
VISl,layer5,denoising,19,0.03281519861830743,Denoising,Other,Uncorrupted version of corrupted image.
VISl,layer6,denoising,3,0.08571428571428572,Denoising,Other,Uncorrupted version of corrupted image.
VISp,layer23,denoising,39,0.045454545454545456,Denoising,Other,Uncorrupted version of corrupted image.
VISp,layer4,denoising,82,0.04677695379349686,Denoising,Other,Uncorrupted version of corrupted image.
VISp,layer5,denoising,24,0.03821656050955414,Denoising,Other,Uncorrupted version of corrupted image.
VISpm,layer23,denoising,2,0.008620689655172414,Denoising,Other,Uncorrupted version of corrupted image.
VISpm,layer4,denoising,6,0.05,Denoising,Other,Uncorrupted version of corrupted image.
VISpm,layer6,denoising,3,0.07142857142857142,Denoising,Other,Uncorrupted version of corrupted image.
VISrl,layer4,denoising,2,0.08,Denoising,Other,Uncorrupted version of corrupted image.
VISal,layer23,depth_euclidean,5,0.025510204081632654,Euclidean Depth,3D,Depth estimation
VISal,layer4,depth_euclidean,5,0.010548523206751054,Euclidean Depth,3D,Depth estimation
VISal,layer5,depth_euclidean,3,0.031914893617021274,Euclidean Depth,3D,Depth estimation
VISam,layer4,depth_euclidean,2,0.029850746268656716,Euclidean Depth,3D,Depth estimation
VISl,layer23,depth_euclidean,16,0.02909090909090909,Euclidean Depth,3D,Depth estimation
VISl,layer4,depth_euclidean,23,0.03042328042328042,Euclidean Depth,3D,Depth estimation
VISl,layer5,depth_euclidean,9,0.015544041450777202,Euclidean Depth,3D,Depth estimation
VISp,layer23,depth_euclidean,23,0.026806526806526808,Euclidean Depth,3D,Depth estimation
VISp,layer4,depth_euclidean,39,0.022247575584711923,Euclidean Depth,3D,Depth estimation
VISp,layer5,depth_euclidean,14,0.022292993630573247,Euclidean Depth,3D,Depth estimation
VISpm,layer23,depth_euclidean,5,0.021551724137931036,Euclidean Depth,3D,Depth estimation
VISpm,layer4,depth_euclidean,3,0.025,Euclidean Depth,3D,Depth estimation
VISpm,layer5,depth_euclidean,2,0.03278688524590164,Euclidean Depth,3D,Depth estimation
VISpm,layer6,depth_euclidean,1,0.023809523809523808,Euclidean Depth,3D,Depth estimation
VISrl,layer4,depth_euclidean,1,0.04,Euclidean Depth,3D,Depth estimation
VISal,layer23,depth_zbuffer,2,0.01020408163265306,Z-Buffer Depth,3D,Depth estimation.
VISal,layer4,depth_zbuffer,12,0.02531645569620253,Z-Buffer Depth,3D,Depth estimation.
VISam,layer23,depth_zbuffer,1,0.014925373134328358,Z-Buffer Depth,3D,Depth estimation.
VISam,layer4,depth_zbuffer,1,0.014925373134328358,Z-Buffer Depth,3D,Depth estimation.
VISl,layer23,depth_zbuffer,9,0.016363636363636365,Z-Buffer Depth,3D,Depth estimation.
VISl,layer4,depth_zbuffer,20,0.026455026455026454,Z-Buffer Depth,3D,Depth estimation.
VISl,layer5,depth_zbuffer,18,0.031088082901554404,Z-Buffer Depth,3D,Depth estimation.
VISl,layer6,depth_zbuffer,1,0.02857142857142857,Z-Buffer Depth,3D,Depth estimation.
VISp,layer23,depth_zbuffer,21,0.024475524475524476,Z-Buffer Depth,3D,Depth estimation.
VISp,layer4,depth_zbuffer,63,0.03593839132915003,Z-Buffer Depth,3D,Depth estimation.
VISp,layer5,depth_zbuffer,20,0.03184713375796178,Z-Buffer Depth,3D,Depth estimation.
VISpm,layer23,depth_zbuffer,4,0.017241379310344827,Z-Buffer Depth,3D,Depth estimation.
VISpm,layer4,depth_zbuffer,4,0.03333333333333333,Z-Buffer Depth,3D,Depth estimation.
VISpm,layer5,depth_zbuffer,2,0.03278688524590164,Z-Buffer Depth,3D,Depth estimation.
VISrl,layer23,depth_zbuffer,1,0.024390243902439025,Z-Buffer Depth,3D,Depth estimation.
VISal,layer23,edge_occlusion,1,0.00510204081632653,Occlusion Edges,3D,Edges which include parts of the scene.
VISal,layer4,edge_occlusion,14,0.029535864978902954,Occlusion Edges,3D,Edges which include parts of the scene.
VISal,layer5,edge_occlusion,2,0.02127659574468085,Occlusion Edges,3D,Edges which include parts of the scene.
VISam,layer4,edge_occlusion,2,0.029850746268656716,Occlusion Edges,3D,Edges which include parts of the scene.
VISam,layer5,edge_occlusion,3,0.2,Occlusion Edges,3D,Edges which include parts of the scene.
VISl,layer23,edge_occlusion,13,0.023636363636363636,Occlusion Edges,3D,Edges which include parts of the scene.
VISl,layer4,edge_occlusion,12,0.015873015873015872,Occlusion Edges,3D,Edges which include parts of the scene.
VISl,layer5,edge_occlusion,8,0.013816925734024179,Occlusion Edges,3D,Edges which include parts of the scene.
VISl,layer6,edge_occlusion,1,0.02857142857142857,Occlusion Edges,3D,Edges which include parts of the scene.
VISp,layer23,edge_occlusion,16,0.018648018648018648,Occlusion Edges,3D,Edges which include parts of the scene.
VISp,layer4,edge_occlusion,39,0.022247575584711923,Occlusion Edges,3D,Edges which include parts of the scene.
VISp,layer5,edge_occlusion,12,0.01910828025477707,Occlusion Edges,3D,Edges which include parts of the scene.
VISp,layer6,edge_occlusion,1,0.06666666666666667,Occlusion Edges,3D,Edges which include parts of the scene.
VISpm,layer23,edge_occlusion,5,0.021551724137931036,Occlusion Edges,3D,Edges which include parts of the scene.
VISpm,layer4,edge_occlusion,1,0.008333333333333333,Occlusion Edges,3D,Edges which include parts of the scene.
VISrl,layer23,edge_occlusion,1,0.024390243902439025,Occlusion Edges,3D,Edges which include parts of the scene.
VISrl,layer4,edge_occlusion,2,0.08,Occlusion Edges,3D,Edges which include parts of the scene.
VISal,layer23,edge_texture,21,0.10714285714285714,Texture Edges,2D,Edges computed from RGB only (texture edges).
VISal,layer4,edge_texture,19,0.04008438818565401,Texture Edges,2D,Edges computed from RGB only (texture edges).
VISal,layer5,edge_texture,8,0.0851063829787234,Texture Edges,2D,Edges computed from RGB only (texture edges).
VISam,layer23,edge_texture,9,0.13432835820895522,Texture Edges,2D,Edges computed from RGB only (texture edges).
VISam,layer4,edge_texture,5,0.07462686567164178,Texture Edges,2D,Edges computed from RGB only (texture edges).
VISam,layer5,edge_texture,3,0.2,Texture Edges,2D,Edges computed from RGB only (texture edges).
VISl,layer23,edge_texture,52,0.09454545454545454,Texture Edges,2D,Edges computed from RGB only (texture edges).
VISl,layer4,edge_texture,60,0.07936507936507936,Texture Edges,2D,Edges computed from RGB only (texture edges).
VISl,layer5,edge_texture,56,0.09671848013816926,Texture Edges,2D,Edges computed from RGB only (texture edges).
VISl,layer6,edge_texture,5,0.14285714285714285,Texture Edges,2D,Edges computed from RGB only (texture edges).
VISp,layer23,edge_texture,76,0.08857808857808858,Texture Edges,2D,Edges computed from RGB only (texture edges).
VISp,layer4,edge_texture,139,0.07929264118653737,Texture Edges,2D,Edges computed from RGB only (texture edges).
VISp,layer5,edge_texture,61,0.09713375796178345,Texture Edges,2D,Edges computed from RGB only (texture edges).
VISp,layer6,edge_texture,5,0.3333333333333333,Texture Edges,2D,Edges computed from RGB only (texture edges).
VISpm,layer23,edge_texture,26,0.11206896551724138,Texture Edges,2D,Edges computed from RGB only (texture edges).
VISpm,layer4,edge_texture,6,0.05,Texture Edges,2D,Edges computed from RGB only (texture edges).
VISpm,layer5,edge_texture,5,0.08196721311475409,Texture Edges,2D,Edges computed from RGB only (texture edges).
VISrl,layer23,edge_texture,4,0.0975609756097561,Texture Edges,2D,Edges computed from RGB only (texture edges).
VISrl,layer4,edge_texture,1,0.04,Texture Edges,2D,Edges computed from RGB only (texture edges).
VISal,layer23,egomotion,3,0.015306122448979591,Egomotion,Geometric,Odometry (camera poses) given three input images.
VISal,layer4,egomotion,15,0.03164556962025317,Egomotion,Geometric,Odometry (camera poses) given three input images.
VISal,layer5,egomotion,1,0.010638297872340425,Egomotion,Geometric,Odometry (camera poses) given three input images.
VISam,layer23,egomotion,2,0.029850746268656716,Egomotion,Geometric,Odometry (camera poses) given three input images.
VISam,layer4,egomotion,1,0.014925373134328358,Egomotion,Geometric,Odometry (camera poses) given three input images.
VISam,layer5,egomotion,1,0.06666666666666667,Egomotion,Geometric,Odometry (camera poses) given three input images.
VISl,layer23,egomotion,17,0.03090909090909091,Egomotion,Geometric,Odometry (camera poses) given three input images.
VISl,layer4,egomotion,26,0.03439153439153439,Egomotion,Geometric,Odometry (camera poses) given three input images.
VISl,layer5,egomotion,17,0.02936096718480138,Egomotion,Geometric,Odometry (camera poses) given three input images.
VISl,layer6,egomotion,2,0.05714285714285714,Egomotion,Geometric,Odometry (camera poses) given three input images.
VISp,layer23,egomotion,29,0.0337995337995338,Egomotion,Geometric,Odometry (camera poses) given three input images.
VISp,layer4,egomotion,50,0.02852253280091272,Egomotion,Geometric,Odometry (camera poses) given three input images.
VISp,layer5,egomotion,21,0.03343949044585987,Egomotion,Geometric,Odometry (camera poses) given three input images.
VISpm,layer23,egomotion,5,0.021551724137931036,Egomotion,Geometric,Odometry (camera poses) given three input images.
VISpm,layer4,egomotion,8,0.06666666666666667,Egomotion,Geometric,Odometry (camera poses) given three input images.
VISpm,layer5,egomotion,1,0.01639344262295082,Egomotion,Geometric,Odometry (camera poses) given three input images.
VISpm,layer6,egomotion,1,0.023809523809523808,Egomotion,Geometric,Odometry (camera poses) given three input images.
VISrl,layer23,egomotion,1,0.024390243902439025,Egomotion,Geometric,Odometry (camera poses) given three input images.
VISrl,layer4,egomotion,1,0.04,Egomotion,Geometric,Odometry (camera poses) given three input images.
VISal,layer23,fixated_pose,1,0.00510204081632653,Camera Pose (Fixated),Geometric,Relative camera pose with matching optical centers.
VISal,layer4,fixated_pose,6,0.012658227848101266,Camera Pose (Fixated),Geometric,Relative camera pose with matching optical centers.
VISal,layer5,fixated_pose,1,0.010638297872340425,Camera Pose (Fixated),Geometric,Relative camera pose with matching optical centers.
VISam,layer4,fixated_pose,2,0.029850746268656716,Camera Pose (Fixated),Geometric,Relative camera pose with matching optical centers.
VISam,layer5,fixated_pose,1,0.06666666666666667,Camera Pose (Fixated),Geometric,Relative camera pose with matching optical centers.
VISl,layer23,fixated_pose,9,0.016363636363636365,Camera Pose (Fixated),Geometric,Relative camera pose with matching optical centers.
VISl,layer4,fixated_pose,10,0.013227513227513227,Camera Pose (Fixated),Geometric,Relative camera pose with matching optical centers.
VISl,layer5,fixated_pose,12,0.02072538860103627,Camera Pose (Fixated),Geometric,Relative camera pose with matching optical centers.
VISp,layer23,fixated_pose,14,0.016317016317016316,Camera Pose (Fixated),Geometric,Relative camera pose with matching optical centers.
VISp,layer4,fixated_pose,36,0.02053622361665716,Camera Pose (Fixated),Geometric,Relative camera pose with matching optical centers.
VISp,layer5,fixated_pose,11,0.01751592356687898,Camera Pose (Fixated),Geometric,Relative camera pose with matching optical centers.
VISpm,layer23,fixated_pose,2,0.008620689655172414,Camera Pose (Fixated),Geometric,Relative camera pose with matching optical centers.
VISpm,layer4,fixated_pose,3,0.025,Camera Pose (Fixated),Geometric,Relative camera pose with matching optical centers.
VISal,layer23,inpainting,5,0.025510204081632654,Inpainting,2D,Filling in masked center of image.
VISal,layer4,inpainting,20,0.04219409282700422,Inpainting,2D,Filling in masked center of image.
VISal,layer5,inpainting,5,0.05319148936170213,Inpainting,2D,Filling in masked center of image.
VISam,layer23,inpainting,3,0.04477611940298507,Inpainting,2D,Filling in masked center of image.
VISam,layer4,inpainting,1,0.014925373134328358,Inpainting,2D,Filling in masked center of image.
VISl,layer23,inpainting,15,0.02727272727272727,Inpainting,2D,Filling in masked center of image.
VISl,layer4,inpainting,26,0.03439153439153439,Inpainting,2D,Filling in masked center of image.
VISl,layer5,inpainting,17,0.02936096718480138,Inpainting,2D,Filling in masked center of image.
VISp,layer23,inpainting,32,0.037296037296037296,Inpainting,2D,Filling in masked center of image.
VISp,layer4,inpainting,52,0.02966343411294923,Inpainting,2D,Filling in masked center of image.
VISp,layer5,inpainting,17,0.027070063694267517,Inpainting,2D,Filling in masked center of image.
VISpm,layer23,inpainting,10,0.04310344827586207,Inpainting,2D,Filling in masked center of image.
VISpm,layer4,inpainting,1,0.008333333333333333,Inpainting,2D,Filling in masked center of image.
VISpm,layer5,inpainting,1,0.01639344262295082,Inpainting,2D,Filling in masked center of image.
VISpm,layer6,inpainting,2,0.047619047619047616,Inpainting,2D,Filling in masked center of image.
VISrl,layer23,inpainting,1,0.024390243902439025,Inpainting,2D,Filling in masked center of image.
VISrl,layer4,inpainting,1,0.04,Inpainting,2D,Filling in masked center of image.
VISal,layer23,jigsaw,6,0.030612244897959183,Jigsaw,Geometric,Putting scrambled image pieces back together.
